id,businessName,contactName,email,phone,website,location,category,source,sourceUrl,description,rating,reviewCount,status,priority,notes,assignedTo,createdAt
7cb7e37a-7638-4eb8-84eb-23240d4edb09,High-End Watch Catalogue Creation,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/indesign/high-end-watch-catalogue-creation,,,,New,High,Budget: $16 - $131,,2026-07-10T13:34:56.399080
0c8cc9fa-9f92-4ef7-b2ee-9a2dbd478d00,Retail CRE Deal Underwriting,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/real-estate/retail-cre-deal-underwriting,,,,New,High,Budget: $350Avg Bid,,2026-07-10T13:34:56.399726
c5248aa9-bc50-4531-8ac6-465408b7722a,Azure SQL VM Cost Optimization.,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/azure/azure-sql-cost-optimization,,,,New,High,Budget: $138Avg Bid,,2026-07-10T13:34:56.400445
e48bacc4-03db-449e-8eb9-f9dd2ae46a4a,Model Photo Cut-Out,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/image-processing/model-photo-cut-out,,,,New,High,Budget: $6Avg Bid,,2026-07-10T13:34:56.401118
6e457ee8-0772-4bf4-bc24-c6248090bf6e,Residential Design & Social Media Management,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/social-media-management/residential-design-social-media,,,,New,High,Budget: $9 / hrAvg Bid,,2026-07-10T13:34:56.401838
03e1cfbb-c07f-415d-b8fa-9bb3c0cefaed,Quick KiCad PCB Revisions,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/prototyping/quick-kicad-pcb-revisions,,,,New,High,Budget: $25Avg Bid,,2026-07-10T13:34:56.402414
75267d10-279a-4546-ad1e-53758e702ea1,Shopify Catalogue With Quote Feature,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/shopify-development/shopify-catalogue-with-quote-feature,,,,New,High,Budget: $379Avg Bid,,2026-07-10T13:34:56.403072
05b2d823-187b-4cf0-83bc-d442663dfc48,Logo Conversion to CDR,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/coreldraw/logo-conversion-cdr-40573538,,,,New,High,Budget: $9Avg Bid,,2026-07-10T13:34:56.403552
ac52f332-3d0d-43a0-b1f6-800aa4d0840b,Site Plan Drawing for Care Home Permit,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/building-architecture/site-plan-drawing-for-care,,,,New,High,Budget: $244Avg Bid,,2026-07-10T13:34:56.404091
44b3aa23-cc1b-430f-ae21-11eee230fbde,Part Time Researcher Needed in Lebanon,,,,,Remote,IT Services,Freelancer,https://www.freelancer.com/projects/translation/part-time-researcher-needed-lebanon,,,,New,High,Budget: $20 - $45,,2026-07-10T13:34:56.404658
